#PSTAR: Stopping Powers and Range Tables for Protons

#ARGON                                                                   

#Kinetic   Total     
#Energy    Stp. Pow. 
#MeV       MeV cm2/g 

1.000E-03 9.355E+01 
1.500E-03 1.123E+02 
2.000E-03 1.281E+02 
2.500E-03 1.421E+02 
3.000E-03 1.547E+02 
4.000E-03 1.772E+02 
5.000E-03 1.971E+02 
6.000E-03 2.151E+02 
7.000E-03 2.317E+02 
8.000E-03 2.472E+02 
9.000E-03 2.617E+02 
1.000E-02 2.755E+02 
1.250E-02 3.026E+02 
1.500E-02 3.261E+02 
1.750E-02 3.469E+02 
2.000E-02 3.655E+02 
2.250E-02 3.822E+02 
2.500E-02 3.972E+02 
2.750E-02 4.108E+02 
3.000E-02 4.230E+02 
3.500E-02 4.440E+02 
4.000E-02 4.608E+02 
4.500E-02 4.741E+02 
5.000E-02 4.843E+02 
5.500E-02 4.918E+02 
6.000E-02 4.970E+02 
6.500E-02 5.002E+02 
7.000E-02 5.017E+02 
7.500E-02 5.016E+02 
8.000E-02 5.003E+02 
8.500E-02 4.980E+02 
9.000E-02 4.947E+02 
9.500E-02 4.907E+02 
1.000E-01 4.862E+02 
1.250E-01 4.580E+02 
1.500E-01 4.272E+02 
1.750E-01 3.982E+02 
2.000E-01 3.724E+02 
2.250E-01 3.499E+02 
2.500E-01 3.304E+02 
2.750E-01 3.135E+02 
3.000E-01 2.988E+02 
3.500E-01 2.745E+02 
4.000E-01 2.551E+02 
4.500E-01 2.392E+02 
5.000E-01 2.258E+02 
5.500E-01 2.146E+02 
6.000E-01 2.048E+02 
6.500E-01 1.962E+02 
7.000E-01 1.885E+02 
7.500E-01 1.815E+02 
8.000E-01 1.750E+02 
8.500E-01 1.691E+02 
9.000E-01 1.635E+02 
9.500E-01 1.583E+02 
1.000E+00 1.534E+02 
1.250E+00 1.331E+02 
1.500E+00 1.183E+02 
1.750E+00 1.069E+02 
2.000E+00 9.778E+01 
2.250E+00 9.032E+01 
2.500E+00 8.406E+01 
2.750E+00 7.872E+01 
3.000E+00 7.409E+01 
3.500E+00 6.647E+01 
4.000E+00 6.043E+01 
4.500E+00 5.550E+01 
5.000E+00 5.141E+01 
5.500E+00 4.793E+01 
6.000E+00 4.495E+01 
6.500E+00 4.236E+01 
7.000E+00 4.008E+01 
7.500E+00 3.806E+01 
8.000E+00 3.626E+01 
8.500E+00 3.463E+01 
9.000E+00 3.317E+01 
9.500E+00 3.183E+01 
1.000E+01 3.061E+01 
1.250E+01 2.581E+01 
1.500E+01 2.242E+01 
1.750E+01 1.989E+01 
2.000E+01 1.793E+01 
2.500E+01 1.507E+01 
2.750E+01 1.399E+01 
3.000E+01 1.307E+01 
3.500E+01 1.159E+01 
4.000E+01 1.044E+01 
4.500E+01 9.529E+00 
5.000E+01 8.783E+00 
5.500E+01 8.162E+00 
6.000E+01 7.636E+00 
6.500E+01 7.184E+00 
7.000E+01 6.792E+00 
7.500E+01 6.449E+00 
8.000E+01 6.145E+00 
8.500E+01 5.874E+00 
9.000E+01 5.631E+00 
9.500E+01 5.412E+00 
1.000E+02 5.213E+00 
1.250E+02 4.445E+00 
1.500E+02 3.919E+00 
1.750E+02 3.537E+00 
2.000E+02 3.246E+00 
2.250E+02 3.018E+00 
2.500E+02 2.834E+00 
2.750E+02 2.683E+00 
3.000E+02 2.557E+00 
3.500E+02 2.358E+00 
4.000E+02 2.210E+00 
4.500E+02 2.095E+00 
5.000E+02 2.004E+00 
5.500E+02 1.931E+00 
6.000E+02 1.871E+00 
6.500E+02 1.821E+00 
7.000E+02 1.779E+00 
7.500E+02 1.744E+00 
8.000E+02 1.714E+00 
8.500E+02 1.688E+00 
9.000E+02 1.665E+00 
9.500E+02 1.646E+00 
1.000E+03 1.629E+00 
1.500E+03 1.542E+00 
2.000E+03 1.521E+00 
2.500E+03 1.523E+00 
3.000E+03 1.535E+00 
4.000E+03 1.567E+00 
5.000E+03 1.601E+00 
6.000E+03 1.634E+00 
7.000E+03 1.665E+00 
8.000E+03 1.693E+00 
9.000E+03 1.719E+00 
1.000E+04 1.743E+00 
